Inspection ID,DBA Name,Facility Type,Risk,Address,Zip,Violations
2563968,Z & V FOODS,Grocery Store,Risk 2 (Medium),2625 W 79TH ST ,60652,
1460179,ZUZU WRAPS INC,Restaurant,Risk 1 (High),3200 W LAWRENCE AVE ,60625,
1460023,ZUZU WRAPS INC,Restaurant,Risk 1 (High),3200 W LAWRENCE AVE ,60625,"21. * CERTIFIED FOOD MANAGER ON SITE WHEN POTENTIALLY HAZARDOUS FOODS ARE  PREPARED AND SERVED - Comments: NO CERTIFIED FOOD MANAGER ON PREMISES WHEN POTENTIALLY HAZARDOUS FOODS ARE BEING PREPARED AND SERVED-BEEF AT 155.3 F. INSTRUCTED THAT A CERTIFIED FOOD MANAGER MUST ON PREMISES DURING ALL HOURS OF OPERATION. SERIOUS CITATION ISSUED 7-38-012. | 30. FOOD IN ORIGINAL CONTAINER, PROPERLY LABELED: CUSTOMER ADVISORY POSTED AS NEEDED - Comments: FOODS INSIDE COOLERS NOT LABELED OR DATED. INSTRUCTED TO LABEL AND DATE ALL FOODS NOT IN ORIGINAL CONTAINERS. | 31. CLEAN MULTI-USE UTENSILS AND SINGLE SERVICE ARTICLES PROPERLY STORED: NO REUSE OF SINGLE SERVICE ARTICLES - Comments: MULTI AND SINGLE USE UTENSILS NOT PROPERLY STORED. INSTRUCTED TO INVERT UTENSILS TO PREVENT CONTAMINATION BEFORE USE. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: ICE MACHINE, DEEP FRYER CABINET, GRINDER, PREP COUNTER AND TABLES NOT CLEAN. INSTRUCTED TO DETAIL CLEAN AND SANITIZE SURFACES. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: FLOOR ALONG WALL BASE, BEHIND EQUIPMENT AND IN BASEMENT NOT CLEAN. INSTRUCTED TO DETAIL CLEAN DAILY AND REMOVE FOOD DEBRIS. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: NON-WORKING COOLER BEING USED FOR CONDIMENTS AND PRODUCE(NON-POTENTIALLY HAZARDOUS) IN FOOD PREPARATION AREA. INSTRUTED TO REPAIR COOLER OR REMOVE."
1376090,ZUZU WRAPS INC,Restaurant,Risk 1 (High),3200 W LAWRENCE AVE ,60625,"35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: MISSING COVES/TILES , FRONT ENTRANCE DOOR. INSTRUCTED TO REPLACE MISSING TILES.  | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: THREE DOOR COOLER, DOOR WORKING , IN DINING AREA. INSTRUCTED TO REMOVE COOLER PREMISES. | 42. APPROPRIATE METHOD OF HANDLING OF FOOD (ICE) HAIR RESTRAINTS AND CLEAN APPAREL WORN - Comments: COOK NOT WEARING HAIR RESTRAINT. INSTRUCTED COOK TO PUT ON HAIR RESTRAINT. "
1098968,ZUZU WRAPS INC,Restaurant,Risk 1 (High),3200 W LAWRENCE AVE ,60625,"2. FACILITIES TO MAINTAIN PROPER TEMPERATURE - Comments: COOLERS AND FREEZERS OFF, INSTRUCTED, COOLER MUST BE AT 40F OR BELOW, FREEZERS 0 OR BELOW. | 11. ADEQUATE NUMBER, CONVENIENT, ACCESSIBLE, DESIGNED, AND MAINTAINED - Comments: NO EXPOSED WASHING SINK AT FRONT PREP AREA; INSTRUCTED TO PROPERLY INSTALL HAND WASHING SINK WITH HOT/COLD WATER, SPLASH GUARDS, PAPER TOWELS AND SOAP DISPENSERS. | 12. HAND WASHING FACILITIES: WITH SOAP AND SANITARY HAND DRYING DEVICES, CONVENIENT AND ACCESSIBLE TO FOOD PREP AREA - Comments: NO SOAP OR HAND DRYING DEVICES AT DISH WASHING AREA EXPOSED SINK AND HAND BOWLS INSIDE THE WASHROOMS, INSTRUCTED TO PROVIDE SOAP, PAPER TOWELS AND DISPENSERS. | 18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: NO PEST CONTROL LOG BOOK, INSTRUCTED TO CONTRACT PEST CONTROL SERVICE AND PROVIDE LOG BOOK. | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: NO SHELVES INSIDE THREE DOOR REACH IN COOLER, PREP TABLE BOTTOM PANEL WITH EXCESSIVE RUST; INSTRUCTED TO PROVIDE SHELVES AND SEAL PREP TABLE PANEL. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: EXCESSIVE DEBRIS AND DUST ON EQUIPMENT; INSTRUCTED TO CLEAN/SANITIZE; COOLERS, FREEZERS, COOKING EQUIPMENT, PREP TABLES, MOP SINK, 3PART SINK, CABINETS, SHELVING UNITS, ALL EQUIPMENT THRU-OUT PREMISES. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: MUST DETAIL CLEAN FLOORS THRU-OUT PREMISES, INCLUDING BASEMENT, UNDER, BEHIND, EQUIPMENT AT CORNERS AND ALONG WALLS. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: NOTED OPENINGS ON WALLS; INSTRUCTED TO SEAL OPENINGS WHERE NEED TO PREVENT PEST ENTRY. DUST ON VENT COVERS, MUST DETAIL CLEAN ALL VENT COVERS THRU-OUT PREMISES, INCLUDING INSIDE THE WASHROOMS. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: NO DRAIN STOPPERS FOR 3COMPARTMENT SINK, FAUCET FOR SAME SINK IN POOR REPAIR AND GREASE TRAP UNDER SAME SINK RUSTY; INSTRUCTED TO PROVIDE DRAIN STOPPERS, REPAIR OR REPLACE FAUCET AND SEAL GREASE TRAP. | 40. REFRIGERATION AND METAL STEM THERMOMETERS PROVIDED AND CONSPICUOUS - Comments: NO THERMOMETERS INSIDE THE COOLERS, INSTRUCTED TO PROVIDE. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: CLUTTER INSIDE BASEMENT AND FURNACE ROOM, INSTRUCTED TO REMOVE UNNECESSARY ARTICLES, CLEAN AND ORGANIZE TO PREVENT PEST HARBORAGE.  ARTICLES MUST BE STORED OFF FLOORS, AWAY FROM WALLS."
1099029,ZUZU WRAPS INC,Restaurant,Risk 1 (High),3200 W LAWRENCE AVE ,60625,
176289,ZU'S QUICK MART,Grocery Store,Risk 3 (Low),11641 S HALSTED ST ,60628,"2. FACILITIES TO MAINTAIN PROPER TEMPERATURE - Comments: All food establishments that display, prepare, or store potentially hazardous food shall have adequate refrigerated food storage facilities. MUST HAVE ALL COOLERS MAINTAINED AT 40F OR LESS. | 18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: All necessary control measures shall be used to effectively minimize or eliminate the presence of rodents, roaches, and other vermin and insects on the premises of all food establishments, in food-transporting vehicles, and in vending machines MUST CONTACT PEST CONTROL CO FOR PREMISES,AND PROVIDE PEST CONTROL LOG BOOK. ALSO MUST RODENT PROOF FRONT ENTRY DOORS. | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: All food and non-food contact equipment and utensils shall be smooth, easily cleanable, and durable, and shall be in good repair. MUST PROVIDE PROPER SHELVING FOR STORAGE/POPS ETC. ALSO MUST INSTALL PAPER TOWELS/TISSUE HOLDER IN WASH ROOM. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: The walls and ceilings shall be in good repair and easily cleaned. MUST SEAL ALL OPENINGS THRU-OUT PREMISE ALONG BASEBOARDS,PIPES,TO PREVENT HIDING AREAS FOR PEST. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: The flow of air discharged from kitchen fans shall always be through a duct to a point above the roofline. Ventilation: All plumbing fixtures, such as toilets, sinks, washbasins, etc., must be adequately trapped, vented, and re-vented and properly connected to the sewer in accordance with the plumbing chapter of the Municipal Code of Chicago and the Rules and Regulations of the Board of Health. MUST INSTALL MOP SINK ON PREMIES WITH FAUCET NO THREADS WITH HOT AND COLD WATER UNDER CITY PRESSURE. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: All parts of the food establishment and all parts of the property used in connection with the operation of the establishment shall be kept neat and clean and should not produce any offensive odors. MUST REMOVE ALL UNNECESSARY ARTICLES FROM PREMISES AND ORGANIZE ALL STORAGE OFF PREMISES FLOORS."
176488,ZU'S QUICK MART,Grocery Store,Risk 3 (Low),11641 S HALSTED ST ,60628,
229501,"ZULLO'S MARKETS, LLC",Restaurant,Risk 2 (Medium),131 N Clinton ST ,60661,
229261,"ZULLO'S MARKETS, LLC",Restaurant,Risk 2 (Medium),131 N Clinton ST ,60661,
229395,"ZULLO'S MARKETS, LLC",Restaurant,Risk 2 (Medium),131 N Clinton ST ,60661,
229233,"ZULLO'S MARKETS, LLC",Restaurant,Risk 2 (Medium),131 N Clinton ST ,60661,
2583700,ZULLO'S INC.,Catering,Risk 1 (High),1103 W Grand AVE ,60642,
1170285,ZULLO'S INC.,Catering,Risk 1 (High),1103 W Grand AVE ,60642,
2583253,ZULLO'S INC.,Catering,Risk 1 (High),1103 W Grand AVE ,60642,"36. THERMOMETERS PROVIDED & ACCURATE - Comments: OBSERVED BOTH METAL STEM THERMOMETERS ON SITE AT TIME OF INSPECTION DO NOT TURN ON. INSTRUCTED TO REPAIR OR REPLACE AND MAINTAIN FUNCTIONAL METAL STEM THERMOMETERS ON SITE AT ALL TIMES. PRIORITY FOUNDATION VIOLATION 7-38-005. CITATION ISSUED. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED APPROXIMATELY 40 RODENT DROPPINGS UNDER REAR STAIRS, IN REAR HALLWAY AND IN BASEMENT NEAR WATER HEATER AND REAR STORAGE AREA. INSTRUCTED TO REMOVE DROPPPINGS, RECEIVE ADDITIONAL PEST CONTROL SERVICE AND MAINTAIN FACILITY FREE OF PEST ACTIVITY. PRIORITY FOUNDATION VIOLATION 7-38-020(A). CITATION ISSUED. | 40. PERSONAL CLEANLINESS - Comments: OBSERVED BOTH EMPLOYEES WORKING WITHOUT HAIR RESTRAINTS. INSTRUCTED FOOD HANDLERS MUST WEAR HAIR RESTRAINTS.  | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED BUILD UP OF GREASE AND GRIME ON FILTERS OF HOOD OVER COOK LINE. INSTRUCTED TO CLEAN AND MAINTAIN IN GOOD CONDITION. | 58. ALLERGEN TRAINING AS REQUIRED - Comments: OBSERVED 1 OF 2 CERTIFIED MANAGERS ON DUTY WITHOUT ALLERGEN TRAINING. INSTRUCTED ALL EMPLOYEES HOLDING CITY OF CHICAGO FOOD SERVICE MANAGER CERTIFICATES MUST COMPLETE ALLERGEN TRAINING AND MAINTAIN RECORDS THEREOF."
2546940,ZULLO'S INC.,Catering,Risk 1 (High),1103 W Grand AVE ,60642,10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: NO HANDWASHING SIGNS AT HANDWASHING SINKS IN PREP AREAS. MUST PROVIDE. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED CRACKED LIGHT SJIELD INSIDE WALK IN COOLER. MUST REPLACE.
2386059,ZULLO'S INC.,Catering,Risk 1 (High),1103 W Grand AVE ,60642,"6. PROPER EATING, TASTING, DRINKING, OR TOBACCO USE - Comments: OBSERVED EMPLOYEES DRINKS STORED IN PREP AREA WITHOUT LID. INSTRUCTED TO PROVIDE LID ON CUP AND DESIGNATE ARE FOR DRINKING. MUST MAINTAIN. | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED HAND-SINK LOCATED IN PREP AREA BLOCKED BY ROLLING STORAGE SHELVING UNIT WHERE LARGE POTS & NOT IN USE KITCHENWARE ARE STORED. UNABLE TO ACCESS HAND-SINK TO WASH HANDS DURING TIME OF INSPECTION.MUST REMOVE AND PROVIDE ACCESS TO HAND-SINK AT ALL TIMES. PRIORITY FOUNDATION VIOLATION. 7-38-030 (c). CITATION ISSUED.   | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED FOIL LINERS ON ALL SHELVING UNITS THROUGHOUT PREP AREA. INSTRUCTED TO REMOVE AND PROVIDE SMOOTH AND EASILY CLEANABLE SURFACES. MUST MAINTAIN.  | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED DOOR ON TOILET ROOM NOT SELF CLOSING. INSTRUCTED TO PROVIDE AND MAINTAIN.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED BLACK CRATES USED FOR ELEVATION IN BASEMENT STORAGE. INSTRUCTED TO REMOVE ALL UNNECESSARY ITEMS AND ELEVATE STORED ITEMS AT LEAST 6 INCHES ABOVE THE FLOOR. "
2357040,ZULLO'S INC.,Catering,Risk 1 (High),1103 W Grand AVE ,60642,"48. WAREWASHING FACILITIES: INSTALLED, MAINTAINED & USED; TEST STRIPS - Comments: OBSERVED DISH WASHER NOT SANITIZING DISHES PROPERLY AT 3 COMP SINK IN THE KITCHEN/PREP AREA. TEST STRIPS RECORDED 0 PPM READING FROM CHEMICAL SANITIZER. INSTRUCTED THAT CHEMICAL SANITIZER, QUATERNARY AMMONIUM SHOULD BE BETWEEN 150-400 PPM. PRIORITY FOUNDATION VIOLATION 7-38-005 CITATION ISSUED. | 54. GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED - Comments: OBSERVED TRASH OVERFLOWING AND TRASH LIDS UNABLE TO CLOSE ON THE OUTSIDE RECEPTACLES OF THE FACILITY. INSTRUCTED THAT OUTSIDE RECEPTACLE LIDS MUST BE TIGHT IN ORDER TO PREVENT PEST HARBORAGE. PRIORITY FOUNDATION VIOLATION 7-38-020(b) CITATION ISSUED."
2359481,ZULLO'S INC.,Catering,Risk 1 (High),1103 W Grand AVE ,60642,
